2024-01-11 17:12:46
Post Name : C-BIO_2

Batch Name : 20221003 PHNPhVal

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
03/10/2022 18:27:23;29,995029;96,141548;6,988771;-0,209686;-109,183167;400;8;0;0,499898;400;400;40;29,995029;30;0;96,141548;30;-100;6,988771;7;0;0;0;0;8;10;0;0,499898;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:27:53;29,995029;96,368126;7,012163;-0,169617;-109,183167;400;8;0;0,49993;400;400;40;29,995029;30;0;96,38813;30;-100;6,976607;7;0;0;0;0;8;10;0;0,49993;0,5;5;-0,249771;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:28:23;29,959091;96,368126;7,015438;-0,149597;-109,183167;400;8;0;0,500234;400;400;40;29,959091;30;0;96,368126;30;-100;7,015438;7;0;0;0;0;8;10;0;0,500234;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:28:53;29,956097;96,13488;7,022923;-0,209686;-109,183167;400;8;0;0,499835;400;400;40;29,956097;30;0;96,13488;30;-100;7,022923;7;0;0;0;0;8;10;0;0,499835;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:29:23;29,959091;96,747963;7,00421;-0,149597;-109,183167;400;8;0;0,500223;400;400;40;29,959091;30;0;96,747963;30;-100;7,00421;7;0;0;0;0;8;10;0;0,500223;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:29:53;29,926151;96,714653;7,003274;-0,169617;-109,183167;400;8;0;0,499945;400;400;40;29,926151;30;0;96,034935;30;-100;6,992046;7;0;0;0;0;8;10;0;0,499945;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:30:23;29,929146;96,13488;7,004678;-0,169617;-109,183167;400;8;0;0,500157;400;400;40;29,920158;30;7,626292;96,13488;30;-100;7,009356;7;0;0;0;0;8;10;0;0,49993;0,5;5;-0,249771;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:30:53;29,893208;96,13488;6,999531;-0,169617;-109,183167;400;8;0;0,500215;400;400;40;29,893208;30;7,643624;96,13488;30;-100;6,999531;7;0;0;0;0;8;10;0;0,500215;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:31:23;29,893208;96,121559;6,994853;-0,149597;-109,183167;400;8;0;0,500116;400;400;40;29,893208;30;7,643624;96,141548;30;-100;6,999531;7;0;0;0;0;8;10;0;0,500127;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:31:53;29,863258;96,714653;6,97801;-0,209686;-109,183167;400;8;0;0,500103;400;400;40;29,863258;30;7,671772;96,714653;30;-100;6,97801;7;0;0;0;0;8;10;0;0,500103;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
